Product Name,Price
HP Chromebook 11 G4 | 16GB Storage | 2GB RAM | 11.6″ Display | Factory Playstore | Black & Silver - Daraz Like New Laptops,"Rs. 7,199"
"LENOVO X270 i5 7th generation, 8GB Ram, 256GB SSD, 12.5"" Led Display, (Windows 11 Licensed) FREE LAPTOP BAG - Daraz Like New Laptops","Rs. 42,499"
Daraz Like New Laptops - Lenovo Chromebook 300E/500E X360 TOUCH SCREEN - 2027/2029 UPDATE - Intel Celeron 4GB RAM 32GB Chrome OS,"Rs. 14,999"
"Daraz Like New Laptops - Hp Chromebook 11 G8 - 4GB Ram DDR4 - 32GB SSD - 11.6"" Screen Size - Chrome OS - FREE LAPTOP BAG AND CHARGER","Rs. 9,999"
Dell Latitude 7290 - Core i5 8th Generation - 8GB RAM - 256GB SSD - 12.5inch Screen - Windows 11 Licensed (FREE LAPTOP BAG) - Daraz like new laptops,"Rs. 49,999"
"HP EliteBook 840 G7 Core i5 10th Gen, 16GB RAM, 512GB SSD, 14″ FHD LED Windows 11 Licensed (FREE LAPTOP BAG) - Daraz like new laptops","Rs. 104,999"
Acer | Chromebook Spin 511 R752T | 32GB Storage | 4GB RAM | Intel UHD Graphics 500 | Intel Celeron N4020 | 11.6″ Display | Windows 10 | ChromeBook - Daraz Like New Laptops,"Rs. 19,999"
Lenovo Chromebook 300E 2nd generation auto update 2027 With Touch Intel Celeron 4GB RAM 32GB Chrome OS (FREE LAPTOP BAG),"Rs. 32,500"
"HP ProBook 11 G2 X360 Touch Screen , Core i5 7th Generation, 8GB DDR4 Ram, 128GB SSD Drive, 11.1"" X360 Touch Screen Led Display, Intel HD Graphics Windows 11 Licensed (FREE LAPTOP BAG) - Daraz like new laptops","Rs. 39,499"
Dell Chromebook 3189 | Touch Screen | 32GB Storage | 4GB RAM | 360 Rotatable | 11.6″ HD Display | Playstore Supported | - Daraz Like New Laptops,"Rs. 17,999"
Lenovo Chromebook 300e/500e - X360 2-in-1 - (FREE STYLUS PEN GIFT) - Touch Laptop and Tab - 4GB Ram - 32GB Storage - Touch x 360° Rotatable - Type C Charger - Auto Update 2027/2029,"Rs. 14,999"
Lenovo ThinkPad X230 Core i5 3rd Gen 4GB RAM 250 GB 12..5″ Windows 10 (Free Laptop Bag) - Daraz like new laptops,"Rs. 37,999"
"Lenovo Chromebook 500e Chromebook Laptop Touchscreen – Affordable, Reliable & Portable Device,Best for Students, Office & Online Business,High Speed & Long Battery and Life Lightweight, Powerful & Perfect for Online Work","Rs. 13,500"
"Dell Chromebook 3180/3100 11.6 Inch HD , 4GB RAM, Windows 10, WiFi, New - 6 Months Warranty","Rs. 9,499"
"Dell Latitude 5420, Core i5 11th generation, 16GB Ram, 512GB SSD, 14"" Led Display, (Windows 11 Licensed) FREE LAPTOP BAG - Daraz Like New Laptops","Rs. 98,999"
HP Chromebook 11 G8 | 32GB Storage | 4GB RAM | 11.6″ Display | Playstore Supported Chromebook | Grey - Daraz Like New Laptops,"Rs. 9,499"
"Lenovo Thinkpad x270 Ultra Book, Core i5 7th generation, 8GB DDR4 Ram, 256GB SSD, 12.5"" Led Display, Intel HD Graphics Windows 11 Licensed (FREE LAPTOP BAG) - Daraz like new laptops - USED LAPTOPS","Rs. 37,999"
Apple MacBook Pro A1278 - 8GB RAM 256GB SSD - 2.5GHz Dual-Core Intel Core i5 - Mid 2012 13.3-inch LED Display - Dual Operating System MacOS Catalina 10.15 - Silver - Daraz Like New Laptops,"Rs. 40,999"
"Dell Latitude 5490 Ultra Book, Core i5 8th generation, 8GB DDR Ram, 256GB Solid State Drive SSD, 14.1"" FHD Led Display, Intel HD Graphics (Windows 11 Licensed) - Daraz like new laptops","Rs. 57,999"
"Apple MacBook Pro 2011 A1278 Display 13-inch Laptop (Intel i5 2.3 GHz, 8 GB RAM, 500GB HDD, Intel HD, macOS High Sierra - Silver - Daraz Like New Laptops","Rs. 36,999"
HP Chromebook 11 G4 | 16GB Storage | 2GB RAM | 11.6″ Display | Playstore Supported Chromebook | Black - Daraz Like New Laptops,"Rs. 7,299"
"Dell Latitude 5410 Ultra Book Core i7 10th generation, 8GB DDR4 Ram 256GB Solid State Drive SSD 14.1"" FHD Led Display Intel HD Graphics - Daraz Like New Laptops","Rs. 74,999"
"HP Chromebook 11 G6 EE 11.6"" Chromebook Intel Celeron 1.10 GHz 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Play Store, Chrome OS - FREE LAPTOP BAG","Rs. 8,199"
"Dell Latitude 3180 HD Laptop Notebook Educational PC (Intel Pentium N4200 Quad Core, 4GB Ram, 128GB Solid State SSD, Camera, HDMI, WiFi, Bluetooth) Windows 10 - Daraz Like New Laptops","Rs. 24,999"
"Lenovo ThinkPad Yoga 11e - 2-in-1 Touchscreen Laptop - 11.6"" HD Display - Intel Celeron N3150 - 4GB RAM - 128GB SSD - 360° Convertible - Windows 10 Pro - Daraz Like New","Rs. 37,999"
"Apple MacBook Pro 15"" (2018 - A1990) - Space Grey - Intel Core i9 (2.9 GHz) - 32GB RAM - 512GB SSD - Touch Bar & Touch ID - Radeon Pro Graphics - Daraz Like New","Rs. 139,999"
"Apple Macbook Air 2015 (11.6-inch, Early 2015) with 1.6GHz dual-core Intel Core i5 processor, 4GB 1600MHz, 128GB PCIe-based flash storage, Intel HD Graphics 6000, Silver - Daraz Like New Laptops","Rs. 32,999"
"HP Chromebook 11.6"" Laptop | 4GB RAM | 128GB Storage | Windows 10 Activated | Type-C | HDMI | Free Bag + Mouse | Excellent Condition | 1 Year Warranty","Rs. 18,999"
"Apple MacBook Air 2020 (A2179) - 13.3"" Retina i5 10th Gen | 8GB RAM 256GB SSD | Space Grey | Touch ID | 1 Year Warranty - K-Mall Laptop Store","Rs. 95,999"
Dell Latitude 7480 14in FHD Laptop PC - Intel Core i5-7TH 2.5GHz 8GB 256GB SSD Windows 10 Pro - Daraz Like New Laptops,"Rs. 57,999"
"Apple MacBook Pro A1278 - 8GB RAM, 500GB Storage - Dual-Core i5 2.5GHz - Mid 2012 13.3-inch LED Display - Dual Operating System MacOS & Windows 10 - Silver - Daraz Like New Laptops","Rs. 38,764"
"Apple MacBook Air 11.6"" (2013 Model) - Ultra-Portable - Intel Core i5 - 4GB RAM - 128GB SSD - HD Graphics - Silver Color - Daraz Like New","Rs. 29,999"
Dell Latitude 7280 - Core i5 7th Generation - 8GB RAM - 256GB SSD - 12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed) - daraz like new laptops,"Rs. 39,999"
"Lenovo ThinkPad T480 Core i5 8th Gen, 8GB RAM, 256GB SSD, 14″ FHD Like A New Laptop Screen LED","Rs. 85,499"
Apple MacBook Pro 2012 A1278 13.3 LED Display - Intel® Core™ i7 Processor 8GB RAM - 256GB SSD MacOS Catalina 10.15 (Activated) - Daraz Like New Laptops,"Rs. 44,999"
"Dell Vostro 5410 Core i5 11th gen (H), 16GB RAM, 512GB NVME SSD, 14″ FHD IPS LED, Windows 11","Rs. 122,999"
"Lenovo ThinkPad T460 Core i5 6th Gen, 8GB, 256GB SSD, 14″ LED (Windows 11 Licensed) FREE LAPTOP BAG)","Rs. 43,999"
Daraz Like New - HP ProBook 640 G1 - Core i5 4th Generation - 8GB RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,"Rs. 36,999"
Dell Latitude E7470 - Core i7 6th Generation - 8GB DDR4 RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG (Windows 11 Licensed) - Daraz like new laptops - USED LAPTOP,"Rs. 52,999"
Lenovo ThinkPad X230 Core i5 3rd Gen 8GB RAM 250 GB 12..5″ Windows 10 (Free Laptop Bag) - Daraz like new laptops,"Rs. 23,999"
